"age_group","outcome","est","se",".imp","method"
"70–79","Severe",0.151921466892293,0.0148886821769,3,"PMM"
"80+","Severe",0.162155399960186,0.02001143627014,3,"PMM"
"30–39","Mod+Sev",0.234828813760448,0.0154298403245179,3,"PMM"
"40–49","Mod+Sev",0.359651085047475,0.0166843311735462,3,"PMM"
"50–59","Mod+Sev",0.487469373574921,0.0176538754297848,3,"PMM"
"60–69","Mod+Sev",0.566992571554553,0.0209601993488155,3,"PMM"
"70–79","Mod+Sev",0.676171733236894,0.0244973027296106,3,"PMM"
"80+","Mod+Sev",0.796692015083975,0.0233309515095486,3,"PMM"
"30–39","Severe",0.038938305909952,0.00379696310725048,4,"PMM"
"40–49","Severe",0.0947210281601173,0.00877708315135283,4,"PMM"
"50–59","Severe",0.146101587315627,0.0113732682736915,4,"PMM"
"60–69","Severe",0.168715890905801,0.0154897020726933,4,"PMM"
"70–79","Severe",0.14346749102243,0.0162544278044348,4,"PMM"
"80+","Severe",0.150897204565036,0.022856386429955,4,"PMM"
"30–39","Mod+Sev",0.232796466682888,0.0149863729720625,4,"PMM"
"40–49","Mod+Sev",0.359049866438916,0.0158095411751241,4,"PMM"
"50–59","Mod+Sev",0.484245369329849,0.0193787537944466,4,"PMM"
"60–69","Mod+Sev",0.564575038948934,0.0216168655286891,4,"PMM"
"70–79","Mod+Sev",0.66473255005126,0.0221879609647977,4,"PMM"
"80+","Mod+Sev",0.78335096097699,0.0232054215444088,4,"PMM"
"30–39","Severe",0.0369332672846452,0.00376905528140482,5,"PMM"
"40–49","Severe",0.0948587844267479,0.00829737793105412,5,"PMM"
"50–59","Severe",0.142261753374829,0.0105310495591094,5,"PMM"
"60–69","Severe",0.17027027034148,0.0136072134033245,5,"PMM"
"70–79","Severe",0.150262814318899,0.0157373694954079,5,"PMM"
"80+","Severe",0.167784784789733,0.0204946436214751,5,"PMM"
"30–39","Mod+Sev",0.237463224625713,0.0154175271825389,5,"PMM"
"40–49","Mod+Sev",0.36495793307223,0.0166751078213567,5,"PMM"
"50–59","Mod+Sev",0.48110780373885,0.0194338390863447,5,"PMM"
"60–69","Mod+Sev",0.567473101957949,0.0218821195203109,5,"PMM"
"70–79","Mod+Sev",0.660113687862486,0.0253975049058421,5,"PMM"
